#$name  ,$network          ,$comentario
offce_1	,13.69.187.20/32   ,           
offce_2	,13.70.184.242/32  ,           
offce_3	,13.71.155.176/32  ,           
offce_4	,13.75.153.216/32  ,           
offce_5	,13.76.140.48/32   ,           
offce_6	,13.78.114.39/32   ,           
offce_7	,13.85.84.102/32   ,           
offce_8	,13.88.248.161/32  ,           
offce_9	,13.88.254.212/32  ,           
offce_10,13.107.6.171/32   ,           
offce_11,13.107.6.172/32   ,           
offce_12,23.98.219.76/32   ,           
offce_13,40.68.166.51/32   ,           
offce_14,40.71.251.78/32   ,           
offce_15,40.74.130.243/32  ,           
offce_16,40.74.138.42/32   ,           
offce_17,40.86.230.88/32   ,           
offce_18,40.87.61.217/32   ,           
offce_19,40.114.192.209/32 ,           
offce_20,40.117.226.146/32 ,           
offce_21,40.126.236.216/32 ,           
offce_22,40.127.79.139/32  ,           
offce_23,51.140.46.128/32  ,           
offce_24,51.140.46.150/32  ,           
offce_25,51.141.1.194/32   ,           
offce_26,51.141.8.160/32   ,           
offce_27,52.108.0.0/14     ,           
offce_28,52.164.242.47/32  ,           
offce_29,52.169.109.48/32  ,           
offce_30,52.172.12.123/32  ,           
offce_31,52.172.13.171/32  ,           
offce_32,52.172.152.100/32 ,           
offce_33,52.172.153.104/32 ,           
offce_34,52.174.190.59/32  ,           
offce_35,52.175.25.142/32  ,           
offce_36,52.232.128.169/32 ,           
offce_37,104.40.225.204/32 ,           
offce_38,104.41.62.54/32   ,           
offce_39,104.214.38.136/32 ,           
offce_40,104.215.194.17/32 ,           
offce_41,137.116.172.39/32 ,           
offce_42,137.135.65.72/32  ,           
offce_43,191.235.84.172/32 ,           
offce_44,191.235.87.181/32 ,           
offce_45,191.237.40.220/32 ,           
        
        