#$name,$network,$comentario
skype_13.64.106.229_32,13.64.106.229/32,
skype_13.64.240.95_32,13.64.240.95/32,
skype_13.67.56.225_32,13.67.56.225/32,
skype_13.67.109.136_32,13.67.109.136/32,
skype_13.67.180.128_32,13.67.180.128/32,
skype_13.67.186.105_32,13.67.186.105/32,
skype_13.67.209.156_32,13.67.209.156/32,
skype_13.67.214.76_32,13.67.214.76/32,
skype_13.67.222.144_32,13.67.222.144/32,
skype_13.68.31.102_32,13.68.31.102/32,
skype_13.70.89.162_32,13.70.89.162/32,
skype_13.70.156.147_32,13.70.156.147/32,
skype_13.70.159.107_32,13.70.159.107/32,
skype_13.70.186.54_32,13.70.186.54/32,
skype_13.73.109.13_32,13.73.109.13/32,
skype_13.73.155.42_32,13.73.155.42/32,
skype_13.74.146.183_32,13.74.146.183/32,
skype_13.75.42.168_32,13.75.42.168/32,
skype_13.75.120.15_32,13.75.120.15/32,
skype_13.75.120.61_32,13.75.120.61/32,
skype_13.75.125.228_32,13.75.125.228/32,
skype_13.75.126.46_32,13.75.126.46/32,
skype_13.75.127.250_32,13.75.127.250/32,
skype_13.75.154.195_32,13.75.154.195/32,
skype_13.75.159.17_32,13.75.159.17/32,
skype_13.75.159.51_32,13.75.159.51/32,
skype_13.76.188.52_32,13.76.188.52/32,
skype_13.76.189.79_32,13.76.189.79/32,
skype_13.76.241.210_32,13.76.241.210/32,
skype_13.77.1.253_32,13.77.1.253/32,
skype_13.77.7.84_32,13.77.7.84/32,
skype_13.78.59.246_32,13.78.59.246/32,
skype_13.78.93.8_32,13.78.93.8/32,
skype_13.78.94.7_32,13.78.94.7/32,
skype_13.78.95.252_32,13.78.95.252/32,
skype_13.78.112.190_32,13.78.112.190/32,
skype_13.79.153.60_32,13.79.153.60/32,
skype_13.79.161.153_32,13.79.161.153/32,
skype_13.79.234.229_32,13.79.234.229/32,
skype_13.88.183.247_32,13.88.183.247/32,
skype_13.88.241.210_32,13.88.241.210/32,
skype_13.89.44.84_32,13.89.44.84/32,
skype_13.91.40.251_32,13.91.40.251/32,
skype_13.91.106.134_32,13.91.106.134/32,
skype_13.91.108.91_32,13.91.108.91/32,
skype_13.91.252.242_32,13.91.252.242/32,
skype_13.92.80.132_32,13.92.80.132/32,
skype_13.92.136.118_32,13.92.136.118/32,
skype_13.93.149.3_32,13.93.149.3/32,
skype_13.93.156.214_32,13.93.156.214/32,
skype_13.93.167.93_32,13.93.167.93/32,
skype_13.93.209.18_32,13.93.209.18/32,
skype_13.94.47.37_32,13.94.47.37/32,
skype_13.95.88.228_32,13.95.88.228/32,
skype_13.95.233.176_32,13.95.233.176/32,
skype_13.95.234.10_32,13.95.234.10/32,
skype_13.95.236.192_32,13.95.236.192/32,
skype_13.107.3.0_24,13.107.3.0/24,
skype_13.107.8.0_24,13.107.8.0/24,
skype_13.107.64.0_18,13.107.64.0/18,
skype_23.97.72.141_32,23.97.72.141/32,
skype_23.97.75.102_32,23.97.75.102/32,
skype_23.97.78.16_32,23.97.78.16/32,
skype_23.97.164.28_32,23.97.164.28/32,
skype_23.99.101.49_32,23.99.101.49/32,
skype_23.99.101.118_32,23.99.101.118/32,
skype_23.99.112.73_32,23.99.112.73/32,
skype_23.99.113.23_32,23.99.113.23/32,
skype_23.99.113.163_32,23.99.113.163/32,
skype_23.99.115.104_32,23.99.115.104/32,
skype_23.99.121.38_32,23.99.121.38/32,
skype_23.99.121.255_32,23.99.121.255/32,
skype_23.99.122.87_32,23.99.122.87/32,
skype_23.99.124.9_32,23.99.124.9/32,
skype_23.99.195.117_32,23.99.195.117/32,
skype_23.101.61.176_32,23.101.61.176/32,
skype_23.101.112.170_32,23.101.112.170/32,
skype_23.101.115.193_32,23.101.115.193/32,
skype_23.101.116.26_32,23.101.116.26/32,
skype_23.101.151.89_32,23.101.151.89/32,
skype_23.101.156.198_32,23.101.156.198/32,
skype_23.101.158.111_32,23.101.158.111/32,
skype_23.102.17.214_32,23.102.17.214/32,
skype_23.102.24.114_32,23.102.24.114/32,
skype_23.103.128.0_23,23.103.128.0/23,
skype_23.103.130.0_24,23.103.130.0/24,
skype_23.103.176.128_26,23.103.176.128/26,
skype_23.103.176.192_27,23.103.176.192/27,
skype_23.103.178.128_26,23.103.178.128/26,
skype_23.103.178.192_27,23.103.178.192/27,
skype_40.68.225.164_32,40.68.225.164/32,
skype_40.68.250.216_32,40.68.250.216/32,
skype_40.68.251.17_32,40.68.251.17/32,
skype_40.69.45.108_32,40.69.45.108/32,
skype_40.69.210.145_32,40.69.210.145/32,
skype_40.74.62.125_32,40.74.62.125/32,
skype_40.74.84.253_32,40.74.84.253/32,
skype_40.74.113.62_32,40.74.113.62/32,
skype_40.74.127.186_32,40.74.127.186/32,
skype_40.74.128.205_32,40.74.128.205/32,
skype_40.74.129.215_32,40.74.129.215/32,
skype_40.74.130.253_32,40.74.130.253/32,
skype_40.74.143.94_32,40.74.143.94/32,
skype_40.76.24.32_32,40.76.24.32/32,
skype_40.76.24.177_32,40.76.24.177/32,
skype_40.76.77.68_32,40.76.77.68/32,
skype_40.77.16.36_32,40.77.16.36/32,
skype_40.78.68.158_32,40.78.68.158/32,
skype_40.78.71.48_32,40.78.71.48/32,
skype_40.78.98.202_32,40.78.98.202/32,
skype_40.78.146.128_32,40.78.146.128/32,
skype_40.79.38.101_32,40.79.38.101/32,
skype_40.79.41.254_32,40.79.41.254/32,
skype_40.79.74.185_32,40.79.74.185/32,
skype_40.79.82.21_32,40.79.82.21/32,
skype_40.83.17.24_32,40.83.17.24/32,
skype_40.83.121.219_32,40.83.121.219/32,
skype_40.83.124.144_32,40.83.124.144/32,
skype_40.83.176.46_32,40.83.176.46/32,
skype_40.83.177.162_32,40.83.177.162/32,
skype_40.83.183.236_32,40.83.183.236/32,
skype_40.84.28.125_32,40.84.28.125/32,
skype_40.86.90.132_32,40.86.90.132/32,
skype_40.86.92.191_32,40.86.92.191/32,
skype_40.112.188.2_32,40.112.188.2/32,
skype_40.113.16.205_32,40.113.16.205/32,
skype_40.113.87.220_32,40.113.87.220/32,
skype_40.113.136.240_32,40.113.136.240/32,
skype_40.114.149.220_32,40.114.149.220/32,
skype_40.114.244.22_32,40.114.244.22/32,
skype_40.115.1.44_32,40.115.1.44/32,
skype_40.115.74.171_32,40.115.74.171/32,
skype_40.117.100.83_32,40.117.100.83/32,
skype_40.117.145.132_32,40.117.145.132/32,
skype_40.118.169.78_32,40.118.169.78/32,
skype_40.118.214.164_32,40.118.214.164/32,
skype_40.118.251.206_32,40.118.251.206/32,
skype_40.118.253.51_32,40.118.253.51/32,
skype_40.121.200.212_32,40.121.200.212/32,
skype_40.121.221.52_32,40.121.221.52/32,
skype_40.122.44.96_32,40.122.44.96/32,
skype_40.122.165.60_32,40.122.165.60/32,
skype_40.122.168.86_32,40.122.168.86/32,
skype_40.123.43.195_32,40.123.43.195/32,
skype_40.123.50.17_32,40.123.50.17/32,
skype_40.126.239.210_32,40.126.239.210/32,
skype_40.126.251.57_32,40.126.251.57/32,
skype_40.127.129.109_32,40.127.129.109/32,
skype_40.127.169.165_32,40.127.169.165/32,
skype_51.140.53.252_32,51.140.53.252/32,
skype_51.140.55.82_32,51.140.55.82/32,
skype_51.140.183.120_32,51.140.183.120/32,
skype_51.141.5.99_32,51.141.5.99/32,
skype_51.141.9.8_32,51.141.9.8/32,
skype_51.141.12.151_32,51.141.12.151/32,
skype_52.112.0.0_14,52.112.0.0/14,
skype_52.160.110.94_32,52.160.110.94/32,
skype_52.163.112.45_32,52.163.112.45/32,
skype_52.163.114.181_32,52.163.114.181/32,
skype_52.163.115.44_32,52.163.115.44/32,
skype_52.163.118.82_32,52.163.118.82/32,
skype_52.163.224.242_32,52.163.224.242/32,
skype_52.163.225.1_32,52.163.225.1/32,
skype_52.163.229.196_32,52.163.229.196/32,
skype_52.163.230.187_32,52.163.230.187/32,
skype_52.163.231.50_32,52.163.231.50/32,
skype_52.163.231.126_32,52.163.231.126/32,
skype_52.164.253.101_32,52.164.253.101/32,
skype_52.164.255.104_32,52.164.255.104/32,
skype_52.165.35.53_32,52.165.35.53/32,
skype_52.165.45.77_32,52.165.45.77/32,
skype_52.165.150.215_32,52.165.150.215/32,
skype_52.166.61.83_32,52.166.61.83/32,
skype_52.169.9.241_32,52.169.9.241/32,
skype_52.169.10.109_32,52.169.10.109/32,
skype_52.169.30.95_32,52.169.30.95/32,
skype_52.169.67.1_32,52.169.67.1/32,
skype_52.169.104.89_32,52.169.104.89/32,
skype_52.169.105.194_32,52.169.105.194/32,
skype_52.169.105.219_32,52.169.105.219/32,
skype_52.169.106.115_32,52.169.106.115/32,
skype_52.169.154.144_32,52.169.154.144/32,
skype_52.169.190.101_32,52.169.190.101/32,
skype_52.172.53.101_32,52.172.53.101/32,
skype_52.172.54.196_32,52.172.54.196/32,
skype_52.172.55.238_32,52.172.55.238/32,
skype_52.173.190.229_32,52.173.190.229/32,
skype_52.174.144.192_32,52.174.144.192/32,
skype_52.174.150.25_32,52.174.150.25/32,
skype_52.174.166.73_32,52.174.166.73/32,
skype_52.174.166.107_32,52.174.166.107/32,
skype_52.174.166.156_32,52.174.166.156/32,
skype_52.174.186.47_32,52.174.186.47/32,
skype_52.175.24.155_32,52.175.24.155/32,
skype_52.175.33.58_32,52.175.33.58/32,
skype_52.175.37.105_32,52.175.37.105/32,
skype_52.175.38.240_32,52.175.38.240/32,
skype_52.177.186.61_32,52.177.186.61/32,
skype_52.177.186.70_32,52.177.186.70/32,
skype_52.177.186.78_32,52.177.186.78/32,
skype_52.178.25.175_32,52.178.25.175/32,
skype_52.178.34.159_32,52.178.34.159/32,
skype_52.178.36.12_32,52.178.36.12/32,
skype_52.178.36.169_32,52.178.36.169/32,
skype_52.178.38.115_32,52.178.38.115/32,
skype_52.178.108.202_32,52.178.108.202/32,
skype_52.178.114.127_32,52.178.114.127/32,
skype_52.178.145.227_32,52.178.145.227/32,
skype_52.178.148.1_32,52.178.148.1/32,
skype_52.178.148.152_32,52.178.148.152/32,
skype_52.178.158.225_32,52.178.158.225/32,
skype_52.178.179.194_32,52.178.179.194/32,
skype_52.178.186.230_32,52.178.186.230/32,
skype_52.178.198.107_32,52.178.198.107/32,
skype_52.179.139.166_32,52.179.139.166/32,
skype_52.179.142.102_32,52.179.142.102/32,
skype_52.183.117.84_32,52.183.117.84/32,
skype_52.185.146.154_32,52.185.146.154/32,
skype_52.185.151.102_32,52.185.151.102/32,
skype_52.187.6.119_32,52.187.6.119/32,
skype_52.187.79.90_32,52.187.79.90/32,
skype_52.187.117.218_32,52.187.117.218/32,
skype_52.187.123.78_32,52.187.123.78/32,
skype_52.187.126.35_32,52.187.126.35/32,
skype_52.187.135.79_32,52.187.135.79/32,
skype_52.225.131.249_32,52.225.131.249/32,
skype_52.232.76.40_32,52.232.76.40/32,
skype_52.232.78.53_32,52.232.78.53/32,
skype_52.232.129.71_32,52.232.129.71/32,
skype_52.232.132.60_32,52.232.132.60/32,
skype_52.232.135.81_32,52.232.135.81/32,
skype_52.233.128.227_32,52.233.128.227/32,
skype_52.233.29.169_32,52.233.29.169/32,
skype_52.233.30.121_32,52.233.30.121/32,
skype_65.55.127.0_24,65.55.127.0/24,
skype_66.119.157.192_26,66.119.157.192/26,
skype_66.119.158.0_25,66.119.158.0/25,
skype_104.40.75.8_32,104.40.75.8/32,
skype_104.40.76.196_32,104.40.76.196/32,
skype_104.40.82.150_32,104.40.82.150/32,
skype_104.40.91.215_32,104.40.91.215/32,
skype_104.40.189.177_32,104.40.189.177/32,
skype_104.41.151.83_32,104.41.151.83/32,
skype_104.41.207.112_32,104.41.207.112/32,
skype_104.41.208.54_32,104.41.208.54/32,
skype_104.41.210.140_32,104.41.210.140/32,
skype_104.42.228.150_32,104.42.228.150/32,
skype_104.42.229.230_32,104.42.229.230/32,
skype_104.43.12.164_32,104.43.12.164/32,
skype_104.44.195.0_24,104.44.195.0/24,
skype_104.44.200.0_23,104.44.200.0/23,
skype_104.45.18.178_32,104.45.18.178/32,
skype_104.45.231.95_32,104.45.231.95/32,
skype_104.45.231.155_32,104.45.231.155/32,
skype_104.46.62.41_32,104.46.62.41/32,
skype_104.46.96.162_32,104.46.96.162/32,
skype_104.46.97.194_32,104.46.97.194/32,
skype_104.46.101.116_32,104.46.101.116/32,
skype_104.46.105.95_32,104.46.105.95/32,
skype_104.47.151.128_32,104.47.151.128/32,
skype_104.208.28.54_32,104.208.28.54/32,
skype_104.208.31.113_32,104.208.31.113/32,
skype_104.208.152.137_32,104.208.152.137/32,
skype_104.209.188.207_32,104.209.188.207/32,
skype_104.210.1.218_32,104.210.1.218/32,
skype_104.210.9.95_32,104.210.9.95/32,
skype_104.210.80.193_32,104.210.80.193/32,
skype_104.211.162.59_32,104.211.162.59/32,
skype_104.211.165.113_32,104.211.165.113/32,
skype_104.211.165.216_32,104.211.165.216/32,
skype_111.221.76.128_25,111.221.76.128/25,
skype_111.221.77.0_26,111.221.77.0/26,
skype_111.221.101.75_32,111.221.101.75/32,
skype_111.221.122.192_26,111.221.122.192/26,
skype_131.253.128.0_19,131.253.128.0/19,
skype_131.253.160.0_20,131.253.160.0/20,
skype_132.245.0.0_24,132.245.0.0/24,
skype_132.245.1.0_25,132.245.1.0/25,
skype_132.245.112.0_24,132.245.112.0/24,
skype_132.245.113.0_25,132.245.113.0/25,
skype_134.170.0.0_25,134.170.0.0/25,
skype_134.170.54.0_26,134.170.54.0/26,
skype_134.170.54.128_25,134.170.54.128/25,
skype_134.170.113.192_26,134.170.113.192/26,
skype_134.170.115.128_25,134.170.115.128/25,
skype_137.116.66.252_32,137.116.66.252/32,
skype_137.116.132.4_32,137.116.132.4/32,
skype_137.116.157.126_32,137.116.157.126/32,
skype_137.116.159.19_32,137.116.159.19/32,
skype_137.116.159.228_32,137.116.159.228/32,
skype_137.116.248.105_32,137.116.248.105/32,
skype_137.117.109.221_32,137.117.109.221/32,
skype_137.117.128.25_32,137.117.128.25/32,
skype_157.55.40.128_25,157.55.40.128/25,
skype_157.55.238.0_25,157.55.238.0/25,
skype_157.56.176.68_32,157.56.176.68/32,
skype_168.61.145.101_32,168.61.145.101/32,
skype_168.61.152.29_32,168.61.152.29/32,
skype_168.61.155.249_32,168.61.155.249/32,
skype_168.63.14.15_32,168.63.14.15/32,
skype_168.63.204.74_32,168.63.204.74/32,
skype_168.63.219.57_32,168.63.219.57/32,
skype_168.63.245.120_32,168.63.245.120/32,
skype_191.233.80.151_32,191.233.80.151/32,
skype_191.233.95.169_32,191.233.95.169/32,
skype_191.234.20.241_32,191.234.20.241/32,
skype_191.234.23.27_32,191.234.23.27/32,
skype_191.237.44.60_32,191.237.44.60/32,
skype_207.46.5.0_24,207.46.5.0/24,
skype_207.46.155.141_32,207.46.155.141/32,
skype_207.46.156.136_32,207.46.156.136/32,
skype_207.46.230.50_32,207.46.230.50/32,